"","Illumina.Probe.ID","Ensembl.Gene.ID","GeneSymbol_Human","Gene.Description","Chromosome","Gene.Start..bp.","Gene.End..bp.","Module"
"6248","ILMN_1751161","ENSG00000114270","COL7A1","collagen, type VII, alpha 1 ","3"," 48,601,506 "," 48,632,700 ","none"
"6249","ILMN_1685433","ENSG00000144810","COL8A1","collagen, type VIII, alpha 1 ","3"," 99,357,319 "," 99,518,070 ","none"
"6250","ILMN_1674050","ENSG00000171812","COL8A2","collagen, type VIII, alpha 2 ","1"," 36,560,837 "," 36,590,821 ","none"
"6251","ILMN_2102330","ENSG00000171812","COL8A2","collagen, type VIII, alpha 2 ","1"," 36,560,837 "," 36,590,821 ","none"
"6252","ILMN_1740155","ENSG00000092758","COL9A3","collagen, type IX, alpha 3 ","20"," 61,447,596 "," 61,472,511 ","none"
"6253","ILMN_1735192","ENSG00000118004","COLEC11","collectin sub-family member 11 ","2"," 3,642,426 "," 3,692,048 ","none"
"6254","ILMN_1695991","ENSG00000206561","COLQ","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase ","3"," 15,491,640 "," 15,563,258 ","none"
"6255","ILMN_2329114","ENSG00000206561","COLQ","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase ","3"," 15,491,640 "," 15,563,258 ","none"
"6256","ILMN_1766505","ENSG00000145781","COMMD10","COMM domain containing 10 ","5"," 115,420,688 "," 115,748,459 ","none"
"6257","ILMN_2300396","ENSG00000170619","COMMD5","COMM domain containing 5 ","8"," 146,066,427 "," 146,079,121 ","none"
"6258","ILMN_1765644","ENSG00000169019","COMMD8","COMM domain containing 8 ","4"," 47,452,885 "," 47,465,736 ","none"
"6259","ILMN_1736752","ENSG00000165644","COMTD1","catechol-O-methyltransferase domain containing 1 ","10"," 76,993,727 "," 76,995,788 ","none"
"6260","ILMN_1699112","ENSG00000129083","COPB1","coatomer protein complex, subunit beta 1 ","11"," 14,464,986 "," 14,521,573 ","none"
"6261","ILMN_1684385","ENSG00000184432","COPB2","coatomer protein complex, subunit beta 2 (beta prime) ","3"," 139,074,442 "," 139,108,574 ","none"
"6262","ILMN_1708204","ENSG00000181789","COPG1","coatomer protein complex, subunit gamma 1 ","3"," 128,968,449 "," 128,996,614 ","none"
"6263","ILMN_1752947","ENSG00000172301","COPRS","coordinator of PRMT5, differentiation stimulator ","17"," 30,178,883 "," 30,186,356 ","none"
"6264","ILMN_1764431","ENSG00000168090","COPS6","COP9 signalosome subunit 6 ","7"," 99,686,577 "," 99,689,823 ","none"
"6265","ILMN_1784785","ENSG00000144524","COPS7B","COP9 signalosome subunit 7B ","2"," 232,646,381 "," 232,673,963 ","none"
"6266","ILMN_1667361","ENSG00000005243","COPZ2","coatomer protein complex, subunit zeta 2 ","17"," 46,103,533 "," 46,115,392 ","none"
"6267","ILMN_1666364","ENSG00000135469","COQ10A","coenzyme Q10 homolog A (S. cerevisiae) ","12"," 56,660,642 "," 56,664,750 ","none"
"6268","ILMN_1756572","ENSG00000173085","COQ2","coenzyme Q2 4-hydroxybenzoate polyprenyltransferase ","4"," 84,182,689 "," 84,206,067 ","none"
"6269","ILMN_1801378","ENSG00000132423","COQ3","coenzyme Q3 methyltransferase ","6"," 99,817,276 "," 99,842,080 ","none"
"6270","ILMN_1664367","ENSG00000119723","COQ6","coenzyme Q6 monooxygenase ","14"," 74,416,629 "," 74,430,373 ","none"
"6271","ILMN_1689070","ENSG00000167186","COQ7","coenzyme Q7 homolog, ubiquinone (yeast) ","16"," 19,078,921 "," 19,091,417 ","none"
"6272","ILMN_1653708","ENSG00000172725","CORO1B","coronin, actin binding protein, 1B ","11"," 67,205,519 "," 67,211,292 ","none"
"6273","ILMN_2377019","ENSG00000172725","CORO1B","coronin, actin binding protein, 1B ","11"," 67,205,519 "," 67,211,292 ","none"
"6274","ILMN_1813386","ENSG00000167549","CORO6","coronin 6 ","17"," 27,941,774 "," 27,949,925 ","none"
"6275","ILMN_1795949","ENSG00000262246","CORO7","coronin 7 ","16"," 4,404,543 "," 4,475,706 ","none"
"6276","ILMN_1788283","ENSG00000103187","COTL1","coactosin-like 1 (Dictyostelium) ","16"," 84,599,200 "," 84,651,683 ","none"
"6277","ILMN_1666280","ENSG00000166260","COX11","cytochrome c oxidase assembly homolog 11 (yeast) ","17"," 53,029,263 "," 53,046,146 ","none"
"6278","ILMN_1815634","ENSG00000131055","COX4I2","cytochrome c oxidase subunit IV isoform 2 (lung) ","20"," 30,225,691 "," 30,232,809 ","none"
"6279","ILMN_1783636","ENSG00000111775","COX6A1","cytochrome c oxidase subunit VIa polypeptide 1 ","12"," 120,875,893 "," 120,878,545 ","none"
"6280","ILMN_1662419","ENSG00000161281","COX7A1","cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) ","19"," 36,641,824 "," 36,643,771 ","none"
"6281","ILMN_1726250","ENSG00000160111","CPAMD8","C3 and PZP-like, alpha-2-macroglobulin domain containing 8 ","19"," 17,003,758 "," 17,137,625 ","none"
"6282","ILMN_1703074","ENSG00000108582","CPD","carboxypeptidase D ","17"," 28,705,923 "," 28,797,007 ","none"
"6283","ILMN_1693345","ENSG00000214575","CPEB1","cytoplasmic polyadenylation element binding protein 1 ","15"," 83,211,951 "," 83,317,612 ","none"
"6284","ILMN_2369603","ENSG00000214575","CPEB1","cytoplasmic polyadenylation element binding protein 1 ","15"," 83,211,951 "," 83,317,612 ","none"
"6285","ILMN_2375484","ENSG00000137449","CPEB2","cytoplasmic polyadenylation element binding protein 2 ","4"," 15,004,298 "," 15,071,777 ","none"
"6286","ILMN_1677038","ENSG00000106034","CPED1","cadherin-like and PC-esterase domain containing 1 ","7"," 120,628,731 "," 120,937,498 ","none"
"6287","ILMN_1689515","ENSG00000213578","CPLX3","complexin 3 ","15"," 75,118,888 "," 75,124,141 ","none"
"6288","ILMN_1709440","ENSG00000135678","CPM","carboxypeptidase M ","12"," 69,235,977 "," 69,365,350 ","none"
"6289","ILMN_1670841","ENSG00000214078","CPNE1","copine I ","20"," 34,213,953 "," 34,252,878 ","none"
"6290","ILMN_1701229","ENSG00000214078","CPNE1","copine I ","20"," 34,213,953 "," 34,252,878 ","none"
"6291","ILMN_2307025","ENSG00000214078","CPNE1","copine I ","20"," 34,213,953 "," 34,252,878 ","none"
"6292","ILMN_1674665","ENSG00000140848","CPNE2","copine II ","16"," 57,126,449 "," 57,181,878 ","none"
"6293","ILMN_1773576","ENSG00000085719","CPNE3","copine III ","8"," 87,497,059 "," 87,573,726 ","none"
"6294","ILMN_1806500","ENSG00000124772","CPNE5","copine V ","6"," 36,708,552 "," 36,807,778 ","none"
"6295","ILMN_1742131","ENSG00000178773","CPNE7","copine VII ","16"," 89,642,176 "," 89,663,654 ","none"
"6296","ILMN_2169761","ENSG00000139117","CPNE8","copine VIII ","12"," 39,040,624 "," 39,301,232 ","none"
"6297","ILMN_1792748","ENSG00000021826","CPS1","carbamoyl-phosphate synthase 1, mitochondrial ","2"," 211,342,406 "," 211,543,831 ","none"
"6298","ILMN_1654545","ENSG00000071894","CPSF1","cleavage and polyadenylation specific factor 1, 160kDa ","8"," 145,618,444 "," 145,634,753 ","none"
"6299","ILMN_2087528","ENSG00000119203","CPSF3","cleavage and polyadenylation specific factor 3, 73kDa ","2"," 9,563,697 "," 9,613,230 ","none"
"6300","ILMN_1718013","ENSG00000127054","CPSF3L","cleavage and polyadenylation specific factor 3-like ","1"," 1,246,965 "," 1,260,071 ","none"
"6301","ILMN_1762316","ENSG00000127054","CPSF3L","cleavage and polyadenylation specific factor 3-like ","1"," 1,246,965 "," 1,260,071 ","none"
"6302","ILMN_1795454","ENSG00000111605","CPSF6","cleavage and polyadenylation specific factor 6, 68kDa ","12"," 69,633,317 "," 69,668,138 ","none"
"6303","ILMN_1712046","ENSG00000088882","CPXM1","carboxypeptidase X (M14 family), member 1 ","20"," 2,774,715 "," 2,781,283 ","none"
"6304","ILMN_1741688","ENSG00000121898","CPXM2","carboxypeptidase X (M14 family), member 2 ","10"," 125,465,723 "," 125,699,783 ","none"
"6305","ILMN_1690170","ENSG00000143320","CRABP2","cellular retinoic acid binding protein 2 ","1"," 156,669,398 "," 156,675,608 ","none"
"6306","ILMN_1690282","ENSG00000169372","CRADD","CASP2 and RIPK1 domain containing adaptor with death domain ","12"," 94,071,151 "," 94,288,616 ","none"
"6307","ILMN_1660551","ENSG00000007545","CRAMP1L","Crm, cramped-like (Drosophila) ","16"," 1,662,326 "," 1,727,909 ","none"
"6308","ILMN_1762139","ENSG00000134376","CRB1","crumbs homolog 1 (Drosophila) ","1"," 197,170,592 "," 197,447,585 ","none"
"6309","ILMN_1703072","ENSG00000107175","CREB3","cAMP responsive element binding protein 3 ","9"," 35,732,332 "," 35,737,001 ","none"
"6310","ILMN_1809583","ENSG00000005339","CREBBP","CREB binding protein ","16"," 3,775,055 "," 3,930,727 ","none"
"6311","ILMN_1784847","ENSG00000137504","CREBZF","CREB/ATF bZIP transcription factor ","11"," 85,370,752 "," 85,393,951 ","none"
"6312","ILMN_1748707","ENSG00000184164","CRELD2","cysteine-rich with EGF-like domains 2 ","22"," 50,311,815 "," 50,321,188 ","none"
"6313","ILMN_1668035","ENSG00000147571","CRH","corticotropin releasing hormone ","8"," 67,088,620 "," 67,090,960 ","none"
"6314","ILMN_1732426","ENSG00000120088","CRHR1","corticotropin releasing hormone receptor 1 ","17"," 43,699,267 "," 43,913,194 ","none"
"6315","ILMN_1784428","ENSG00000204650","CRHR1-IT1","CRHR1 intronic transcript 1 (non-protein coding) ","17"," 43,697,694 "," 43,725,582 ","none"
"6316","ILMN_1656920","ENSG00000213145","CRIP1","cysteine-rich protein 1 (intestinal) ","14"," 105,952,654 "," 105,955,284 ","none"
"6317","ILMN_1694432","ENSG00000182809","CRIP2","cysteine-rich protein 2 ","14"," 105,939,299 "," 105,946,499 ","none"
"6318","ILMN_1813256","ENSG00000119878","CRIPT","cysteine-rich PDZ-binding protein ","2"," 46,843,555 "," 46,852,881 ","none"
"6319","ILMN_1690122","ENSG00000099942","CRKL","v-crk avian sarcoma virus CT10 oncogene homolog-like ","22"," 21,271,714 "," 21,308,037 ","none"
"6320","ILMN_2155228","ENSG00000176390","CRLF3","cytokine receptor-like factor 3 ","17"," 29,096,406 "," 29,151,794 ","none"
"6321","ILMN_1737685","ENSG00000088766","CRLS1","cardiolipin synthase 1 ","20"," 5,986,736 "," 6,020,699 ","none"
"6322","ILMN_1799672","ENSG00000058453","CROCC","ciliary rootlet coiled-coil, rootletin ","1"," 17,066,768 "," 17,299,474 ","none"
"6323","ILMN_1657771","ENSG00000160741","CRTC2","CREB regulated transcription coactivator 2 ","1"," 153,920,145 "," 153,931,101 ","none"
"6324","ILMN_1760593","ENSG00000008405","CRY1","cryptochrome 1 (photolyase-like) ","12"," 107,385,142 "," 107,487,607 ","none"
"6325","ILMN_1711015","ENSG00000160202","CRYAA","crystallin, alpha A ","21"," 44,589,118 "," 44,592,915 ","none"
"6326","ILMN_1760708","ENSG00000244752","CRYBB2","crystallin, beta B2 ","22"," 25,615,489 "," 25,627,836 ","none"
"6327","ILMN_1792597","ENSG00000213139","CRYGS","crystallin, gamma S ","3"," 186,256,230 "," 186,264,491 ","none"
"6328","ILMN_1672389","ENSG00000116791","CRYZ","crystallin, zeta (quinone reductase) ","1"," 75,171,170 "," 75,199,092 ","none"
"6329","ILMN_1719290","ENSG00000205758","CRYZL1","crystallin, zeta (quinone reductase)-like 1 ","21"," 34,961,647 "," 35,016,232 ","none"
"6330","ILMN_1762115","ENSG00000205758","CRYZL1","crystallin, zeta (quinone reductase)-like 1 ","21"," 34,961,647 "," 35,016,232 ","none"
"6331","ILMN_2396410","ENSG00000062485","CS","citrate synthase ","12"," 56,665,483 "," 56,694,176 ","none"
"6332","ILMN_2119692","ENSG00000139631","CSAD","cysteine sulfinic acid decarboxylase ","12"," 53,551,447 "," 53,575,135 ","none"
"6333","ILMN_1806787","ENSG00000172346","CSDC2","cold shock domain containing C2, RNA binding ","22"," 41,956,767 "," 41,973,745 ","none"
"6334","ILMN_1685796","ENSG00000009307","CSDE1","cold shock domain containing E1, RNA-binding ","1"," 115,259,534 "," 115,301,297 ","none"
"6335","ILMN_1665797","ENSG00000124207","CSE1L","CSE1 chromosome segregation 1-like (yeast) ","20"," 47,662,849 "," 47,713,489 ","none"
"6336","ILMN_1762275","ENSG00000124207","CSE1L","CSE1 chromosome segregation 1-like (yeast) ","20"," 47,662,849 "," 47,713,489 ","none"
"6337","ILMN_2055523","ENSG00000147408","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1 ","8"," 19,261,672 "," 19,615,540 ","none"
"6338","ILMN_1680436","ENSG00000204414","CSHL1","chorionic somatomammotropin hormone-like 1 ","17"," 61,986,957 "," 61,996,198 ","none"
"6339","ILMN_1754121","ENSG00000103653","CSK","c-src tyrosine kinase ","15"," 75,074,398 "," 75,095,539 ","none"
"6340","ILMN_1746945","ENSG00000183117","CSMD1","CUB and Sushi multiple domains 1 ","8"," 2,792,875 "," 4,852,494 ","none"
"6341","ILMN_1720708","ENSG00000141551","CSNK1D","casein kinase 1, delta ","17"," 80,196,899 "," 80,231,607 ","none"
"6342","ILMN_2286870","ENSG00000141551","CSNK1D","casein kinase 1, delta ","17"," 80,196,899 "," 80,231,607 ","none"
"6343","ILMN_1708858","ENSG00000213923","CSNK1E","casein kinase 1, epsilon ","22"," 38,686,697 "," 38,794,527 ","none"
"6344","ILMN_1706521","ENSG00000133275","CSNK1G2","casein kinase 1, gamma 2 ","19"," 1,941,188 "," 1,981,337 ","none"
"6345","ILMN_1652024","ENSG00000151292","CSNK1G3","casein kinase 1, gamma 3 ","5"," 122,847,793 "," 122,952,739 ","none"
"6346","ILMN_2332267","ENSG00000151292","CSNK1G3","casein kinase 1, gamma 3 ","5"," 122,847,793 "," 122,952,739 ","none"
"6347","ILMN_1723843","ENSG00000070770","CSNK2A2","casein kinase 2, alpha prime polypeptide ","16"," 58,191,811 "," 58,231,824 ","none"
"6348","ILMN_1666894","ENSG00000173546","CSPG4","chondroitin sulfate proteoglycan 4 ","15"," 75,966,663 "," 76,005,189 ","none"
"6349","ILMN_1688184","ENSG00000114646","CSPG5","chondroitin sulfate proteoglycan 5 (neuroglycan C) ","3"," 47,603,729 "," 47,622,282 ","none"
"6350","ILMN_2393994","ENSG00000104218","CSPP1","centrosome and spindle pole associated protein 1 ","8"," 67,974,661 "," 68,108,498 ","none"
"6351","ILMN_1690386","ENSG00000149474","CSRP2BP","CSRP2 binding protein ","20"," 18,118,499 "," 18,169,031 ","none"
"6352","ILMN_1777168","ENSG00000149474","CSRP2BP","CSRP2 binding protein ","20"," 18,118,499 "," 18,169,031 ","none"
"6353","ILMN_1702372","ENSG00000173335","CST9","cystatin 9 (testatin) ","20"," 23,583,047 "," 23,586,513 ","none"
"6354","ILMN_1653129","ENSG00000101811","CSTF2","cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa ","X"," 100,075,384 "," 100,095,921 ","none"
"6355","ILMN_1807515","ENSG00000177613","CSTF2T","cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant ","10"," 53,455,247 "," 53,459,355 ","none"
"6356","ILMN_1762002","ENSG00000176102","CSTF3","cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa ","11"," 33,098,734 "," 33,183,917 ","none"
"6357","ILMN_2397880","ENSG00000176102","CSTF3","cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa ","11"," 33,098,734 "," 33,183,917 ","none"
"6358","ILMN_1672783","ENSG00000232417","CT45A3","cancer/testis antigen family 45, member A3 ","X"," 134,883,488 "," 134,893,393 ","none"
"6359","ILMN_1757689","ENSG00000232417","CT45A3","cancer/testis antigen family 45, member A3 ","X"," 134,883,488 "," 134,893,393 ","none"
"6360","ILMN_2135944","ENSG00000232417","CT45A3","cancer/testis antigen family 45, member A3 ","X"," 134,883,488 "," 134,893,393 ","none"
"6361","ILMN_1852793","ENSG00000261526","CTB-31O20.2","","19"," 1,874,881 "," 1,876,168 ","none"
"6362","ILMN_1674488","ENSG00000105642","CTB-52I2.8","","19"," 18,062,111 "," 18,109,930 ","none"
"6363","ILMN_2379734","ENSG00000159692","CTBP1","C-terminal binding protein 1 ","4"," 1,205,236 "," 1,243,741 ","none"
"6364","ILMN_1672925","ENSG00000175029","CTBP2","C-terminal binding protein 2 ","10"," 126,676,421 "," 126,849,739 ","none"
"6365","ILMN_2144573","ENSG00000117151","CTBS","chitobiase, di-N-acetyl- ","1"," 85,018,804 "," 85,040,163 ","none"
"6366","ILMN_1888074","ENSG00000250222","CTC-338M12.5","","5"," 180,618,924 "," 180,621,429 ","none"
"6367","ILMN_1673980","ENSG00000262484","CTC-360G5.1","uncharacterized protein LOC643669 precursor  ","19"," 39,399,620 "," 39,402,798 ","none"
"6368","ILMN_1702676","ENSG00000178971","CTC1","CTS telomere maintenance complex component 1 ","17"," 8,130,191 "," 8,151,362 ","none"
"6369","ILMN_1786015","ENSG00000102974","CTCF","CCCTC-binding factor (zinc finger protein) ","16"," 67,596,310 "," 67,673,086 ","none"
"6370","ILMN_1909156","ENSG00000250786","CTD-2001E22.2","","5"," 9,546,312 "," 9,550,721 ","none"
"6371","ILMN_1905326","ENSG00000249436","CTD-2023N9.3","","5"," 56,910,216 "," 56,913,258 ","none"
"6372","ILMN_1732860","ENSG00000204666","CTD-2126E3.1","","19"," 50,553,846 "," 50,570,050 ","none"
"6373","ILMN_1689901","ENSG00000198416","CTD-2173L22.4","","9"," 39,443,804 "," 39,464,526 ","none"
"6374","ILMN_1882649","ENSG00000250579","CTD-2297D10.2","","5"," 5,132,893 "," 5,140,167 ","none"
"6375","ILMN_2345292","ENSG00000221857","CTD-2527I21.4","","19"," 35,629,728 "," 35,642,239 ","none"
"6376","ILMN_1815759","ENSG00000060069","CTDP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 ","18"," 77,439,801 "," 77,514,510 ","none"
"6377","ILMN_2407589","ENSG00000060069","CTDP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 ","18"," 77,439,801 "," 77,514,510 ","none"
"6378","ILMN_1681678","ENSG00000144579","CTDSP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 ","2"," 219,262,979 "," 219,270,664 ","none"
"6379","ILMN_1728163","ENSG00000144579","CTDSP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 ","2"," 219,262,979 "," 219,270,664 ","none"
"6380","ILMN_2392189","ENSG00000144677","CTDSPL","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like ","3"," 37,903,451 "," 38,025,960 ","none"
"6381","ILMN_1665655","ENSG00000137770","CTDSPL2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 ","15"," 44,719,432 "," 44,821,236 ","none"
"6382","ILMN_2077758","ENSG00000137770","CTDSPL2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 ","15"," 44,719,432 "," 44,821,236 ","none"
"6383","ILMN_2305112","ENSG00000116761","CTH","cystathionase (cystathionine gamma-lyase) ","1"," 70,876,901 "," 70,905,534 ","none"
"6384","ILMN_2197693","ENSG00000066032","CTNNA2","catenin (cadherin-associated protein), alpha 2 ","2"," 79,412,357 "," 80,875,905 ","none"
"6385","ILMN_1721901","ENSG00000119326","CTNNAL1","catenin (cadherin-associated protein), alpha-like 1 ","9"," 111,704,851 "," 111,775,809 ","none"
"6386","ILMN_2136446","ENSG00000119326","CTNNAL1","catenin (cadherin-associated protein), alpha-like 1 ","9"," 111,704,851 "," 111,775,809 ","none"
"6387","ILMN_2381168","ENSG00000178585","CTNNBIP1","catenin, beta interacting protein 1 ","1"," 9,908,334 "," 9,970,394 ","none"
"6388","ILMN_2063925","ENSG00000132792","CTNNBL1","catenin, beta like 1 ","20"," 36,322,408 "," 36,500,531 ","none"
"6389","ILMN_1807719","ENSG00000040531","CTNS","cystinosin, lysosomal cystine transporter ","17"," 3,539,762 "," 3,564,836 ","none"
"6390","ILMN_1719286","ENSG00000064601","CTSA","cathepsin A ","20"," 44,518,783 "," 44,527,459 ","none"
"6391","ILMN_1792885","ENSG00000109861","CTSC","cathepsin C ","11"," 88,026,760 "," 88,070,955 ","none"
"6392","ILMN_1674038","ENSG00000117984","CTSD","cathepsin D ","11"," 1,773,982 "," 1,785,222 ","none"
"6393","ILMN_2387224","ENSG00000196188","CTSE","cathepsin E ","1"," 206,317,459 "," 206,332,104 ","none"
"6394","ILMN_1804955","ENSG00000174080","CTSF","cathepsin F ","11"," 66,330,934 "," 66,336,312 ","none"
"6395","ILMN_1758895","ENSG00000143387","CTSK","cathepsin K ","1"," 150,768,684 "," 150,780,799 ","none"
"6396","ILMN_1748352","ENSG00000136943","CTSV","cathepsin V ","9"," 99,794,940 "," 99,801,925 ","none"
"6397","ILMN_1744912","ENSG00000085733","CTTN","cortactin ","11"," 70,244,510 "," 70,282,690 ","none"
"6398","ILMN_2393712","ENSG00000085733","CTTN","cortactin ","11"," 70,244,510 "," 70,282,690 ","none"
"6399","ILMN_1719517","ENSG00000143079","CTTNBP2NL","CTTNBP2 N-terminal like ","1"," 112,938,803 "," 113,006,078 ","none"
"6400","ILMN_1682375","ENSG00000142544","CTU1","cytosolic thiouridylase subunit 1 ","19"," 51,600,863 "," 51,611,627 ","none"
"6401","ILMN_1749629","ENSG00000055130","CUL1","cullin 1 ","7"," 148,395,006 "," 148,498,128 ","none"
"6402","ILMN_1653670","ENSG00000036257","CUL3","cullin 3 ","2"," 225,334,867 "," 225,450,110 ","none"
"6403","ILMN_1695792","ENSG00000139842","CUL4A","cullin 4A ","13"," 113,862,552 "," 113,919,399 ","none"
"6404","ILMN_2385161","ENSG00000158290","CUL4B","cullin 4B ","X"," 119,658,464 "," 119,709,649 ","none"
"6405","ILMN_2176955","ENSG00000166266","CUL5","cullin 5 ","11"," 107,879,459 "," 107,978,503 ","none"
"6406","ILMN_1806010","ENSG00000112659","CUL9","cullin 9 ","6"," 43,149,913 "," 43,192,325 ","none"
"6407","ILMN_1720233","ENSG00000108296","CWC25","CWC25 spliceosome-associated protein homolog (S. cerevisiae) ","17"," 36,957,340 "," 36,981,734 ","none"
"6408","ILMN_1651886","ENSG00000095485","CWF19L1","CWF19-like 1, cell cycle control (S. pombe) ","10"," 101,992,055 "," 102,027,437 ","none"
"6409","ILMN_1668498","ENSG00000152404","CWF19L2","CWF19-like 2, cell cycle control (S. pombe) ","11"," 107,197,071 "," 107,328,572 ","none"
"6410","ILMN_1791759","ENSG00000169245","CXCL10","chemokine (C-X-C motif) ligand 10 ","4"," 76,942,273 "," 76,944,650 ","none"
"6411","ILMN_1791447","ENSG00000107562","CXCL12","chemokine (C-X-C motif) ligand 12 ","10"," 44,793,038 "," 44,881,941 ","none"
"6412","ILMN_1803825","ENSG00000107562","CXCL12","chemokine (C-X-C motif) ligand 12 ","10"," 44,793,038 "," 44,881,941 ","none"
"6413","ILMN_1748323","ENSG00000145824","CXCL14","chemokine (C-X-C motif) ligand 14 ","5"," 134,906,373 "," 134,914,969 ","none"
"6414","ILMN_1682636","ENSG00000081041","CXCL2","chemokine (C-X-C motif) ligand 2 ","4"," 74,962,752 "," 74,965,010 ","none"
"6415","ILMN_1772943","ENSG00000173681","CXorf23","chromosome X open reading frame 23 ","X"," 19,930,978 "," 19,988,416 ","none"
"6416","ILMN_1697864","ENSG00000185753","CXorf38","chromosome X open reading frame 38 ","X"," 40,488,285 "," 40,506,819 ","none"
"6417","ILMN_1733654","ENSG00000197021","CXorf40B","chromosome X open reading frame 40B ","X"," 149,097,745 "," 149,107,029 ","none"
"6418","ILMN_1730630","ENSG00000018610","CXorf56","chromosome X open reading frame 56 ","X"," 118,672,112 "," 118,699,397 ","none"
"6419","ILMN_1703279","ENSG00000147231","CXorf57","chromosome X open reading frame 57 ","X"," 105,855,160 "," 105,922,672 ","none"
"6420","ILMN_1745256","ENSG00000171604","CXXC5","CXXC finger protein 5 ","5"," 139,026,884 "," 139,063,467 ","none"
"6421","ILMN_2129505","ENSG00000162144","CYB561A3","cytochrome b561 family, member A3 ","11"," 61,116,217 "," 61,129,771 ","none"
"6422","ILMN_1714167","ENSG00000166347","CYB5A","cytochrome b5 type A (microsomal) ","18"," 71,920,530 "," 71,959,251 ","none"
"6423","ILMN_1696254","ENSG00000167740","CYB5D2","cytochrome b5 domain containing 2 ","17"," 4,046,462 "," 4,090,605 ","none"
"6424","ILMN_1740441","ENSG00000100243","CYB5R3","cytochrome b5 reductase 3 ","22"," 43,013,846 "," 43,045,574 ","none"
"6425","ILMN_1717975","ENSG00000187954","CYHR1","cysteine/histidine-rich 1 ","8"," 145,674,965 "," 145,691,060 ","none"
"6426","ILMN_1693338","ENSG00000138061","CYP1B1","cytochrome P450, family 1, subfamily B, polypeptide 1 ","2"," 38,294,116 "," 38,337,044 ","none"
"6427","ILMN_2391333","ENSG00000119004","CYP20A1","cytochrome P450, family 20, subfamily A, polypeptide 1 ","2"," 204,103,663 "," 204,163,009 ","none"
"6428","ILMN_1773082","ENSG00000231852","CYP21A2","cytochrome P450, family 21, subfamily A, polypeptide 2 ","6"," 32,006,042 "," 32,009,447 ","none"
"6429","ILMN_2119774","ENSG00000186104","CYP2R1","cytochrome P450, family 2, subfamily R, polypeptide 1 ","11"," 14,899,553 "," 14,913,798 ","none"
"6430","ILMN_2054607","ENSG00000145476","CYP4V2","cytochrome P450, family 4, subfamily V, polypeptide 2 ","4"," 187,112,674 "," 187,134,610 ","none"
"6431","ILMN_1669338","ENSG00000186377","CYP4X1","cytochrome P450, family 4, subfamily X, polypeptide 1 ","1"," 47,427,036 "," 47,516,423 ","none"
"6432","ILMN_1733276","ENSG00000173198","CYSLTR1","cysteinyl leukotriene receptor 1 ","X"," 77,526,961 "," 77,583,048 ","none"
"6433","ILMN_1761566","ENSG00000120306","CYSTM1","cysteine-rich transmembrane module containing 1 ","5"," 139,554,227 "," 139,661,637 ","none"
"6434","ILMN_1721241","ENSG00000105443","CYTH2","cytohesin 2 ","19"," 48,972,289 "," 48,985,571 ","none"
"6435","ILMN_2377459","ENSG00000105443","CYTH2","cytohesin 2 ","19"," 48,972,289 "," 48,985,571 ","none"
"6436","ILMN_1713918","ENSG00000008256","CYTH3","cytohesin 3 ","7"," 6,201,407 "," 6,312,275 ","none"
"6437","ILMN_2160727","ENSG00000008256","CYTH3","cytohesin 3 ","7"," 6,201,407 "," 6,312,275 ","none"
"6438","ILMN_1746864","ENSG00000115165","CYTIP","cytohesin 1 interacting protein ","2"," 158,271,131 "," 158,345,473 ","none"
"6439","ILMN_2201596","ENSG00000170891","CYTL1","cytokine-like 1 ","4"," 5,016,313 "," 5,021,199 ","none"
"6440","ILMN_1812902","ENSG00000166265","CYYR1","cysteine/tyrosine-rich 1 ","21"," 27,838,528 "," 27,945,603 ","none"
"6441","ILMN_1787251","ENSG00000100592","DAAM1","dishevelled associated activator of morphogenesis 1 ","14"," 59,655,364 "," 59,838,123 ","none"
"6442","ILMN_2128428","ENSG00000153071","DAB2","Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila) ","5"," 39,371,780 "," 39,462,402 ","none"
"6443","ILMN_1783161","ENSG00000136848","DAB2IP","DAB2 interacting protein ","9"," 124,329,336 "," 124,547,809 ","none"
"6444","ILMN_1755741","ENSG00000165659","DACH1","dachshund homolog 1 (Drosophila) ","13"," 72,012,098 "," 72,441,330 ","none"
"6445","ILMN_1691790","ENSG00000164488","DACT2","dishevelled-binding antagonist of beta-catenin 2 ","6"," 168,693,512 "," 168,720,434 ","none"
